Designator,Mid X,Mid Y,Rotation,Layer
C1,180.848,-108.331,0.0,bottom
C10,190.373,-93.218,90.0,bottom
C11,188.214,-93.218,90.0,bottom
C12,192.532,-93.218,90.0,bottom
C13,166.743,-89.073,0.0,bottom
C14,173.101,-108.331,180.0,bottom
C15,191.897,-104.775,180.0,bottom
C16,191.897,-106.807,180.0,bottom
C17,188.468,-105.791,90.0,bottom
C18,161.544,-105.537,270.0,bottom
C19,191.77,-101.473,180.0,bottom
C2,183.769,-92.329,0.0,top
C20,194.437,-98.298,270.0,bottom
C3,165.989,-97.917,0.0,bottom
C31,162.306,-98.044,0.0,bottom
C32,162.306,-96.012,0.0,bottom
C33,180.8215,-88.773,0.0,bottom
C4,186.69,-94.488,90.0,top
C49,181.0015,-107.315,0.0,top
C5,191.008,-86.741,270.0,top
C50,181.0015,-105.156,0.0,top
C6,193.167,-86.741,270.0,top
C7,191.516,-105.664,270.0,top
C8,176.911,-108.331,180.0,bottom
C9,166.743,-91.059,0.0,bottom
D1,190.733099,-113.919,180.0,bottom
D2,185.293,-114.046,0.0,bottom
D3,168.148,-85.725,0.0,top
D4,168.148,-88.9,0.0,top
F1,179.6685,-114.046,180.0,bottom
F2,194.056,-107.569,270.0,top
J2,198.501,-104.394,90.0,top
J3,176.657,-88.9,180.0,top
J5,159.258,-92.456,270.0,top
J6,178.181,-110.3025,0.0,top
L1,186.309,-88.011,0.0,top
R1,189.103,-105.664,90.0,top
R10,158.369,-102.743,180.0,bottom
R11,158.369,-100.457,180.0,bottom
R12,158.369,-98.298,180.0,bottom
R13,158.369,-96.139,180.0,bottom
R14,158.369,-93.98,180.0,bottom
R2,185.547,-101.346,180.0,top
R3,185.547,-99.06,0.0,top
R4,191.262,-93.345,270.0,top
R47,180.975,-100.838,180.0,top
R48,177.292,-96.266,180.0,top
R49,181.0015,-102.997,180.0,top
R5,189.103,-93.345,90.0,top
R8,173.736,-85.979,0.0,bottom
R9,173.736,-88.392,0.0,bottom
U1,185.547,-105.537,270.0,top
U2,183.769,-95.885,90.0,top
U3,166.37,-103.124,180.0,bottom
U4,178.308,-98.552,270.0,bottom
U8,176.149,-101.981,180.0,top
Y1,191.77,-98.298,90.0,bottom
